# Expected ratio (1.5/0.2433): 6.1652,mean observed: 6.1774
d_mm,grad_1p5T_T_per_m,grad_0p2433T_T_per_m,ratio
0.032874,6050.1567,979.3982,6.1774
0.032911,2954.2261,478.2296,6.1774
0.056788,2078.3187,336.4378,6.1774
0.059321,1511.7500,244.7218,6.1774
0.078069,1219.0371,197.3375,6.1774
0.091632,954.0155,154.4358,6.1774
0.104082,776.7572,125.7413,6.1774
0.126790,647.4050,104.8018,6.1774
0.130614,556.2576,90.0469,6.1774
0.133207,489.7318,79.2777,6.1774
0.153812,461.4288,74.6960,6.1774
0.160647,413.4611,66.9310,6.1774
0.161814,357.0550,57.8000,6.1774
0.188764,316.5525,51.2435,6.1774
0.192789,286.2765,46.3424,6.1774
0.210782,261.9770,42.4088,6.1774
0.228076,236.7674,38.3279,6.1774
0.240017,216.4248,35.0348,6.1774
0.250918,200.0770,32.3884,6.1774
0.265072,186.1327,30.1311,6.1774
0.288951,175.0494,28.3370,6.1774
0.291564,164.6904,26.6600,6.1774
0.292919,152.5771,24.6992,6.1774
0.320078,142.2386,23.0256,6.1774
0.323548,133.7218,21.6469,6.1774
0.342744,125.8607,20.3743,6.1774
0.360657,117.4602,19.0144,6.1774
0.372458,109.9797,17.8035,6.1774
0.382925,103.2757,16.7183,6.1774
0.398252,97.0256,15.7065,6.1774
0.420486,91.5570,14.8212,6.1774
0.424172,86.5303,14.0075,6.1774
0.426509,81.4231,13.1807,6.1774
0.448068,78.8897,12.7706,6.1774
0.454525,74.8160,12.1112,6.1774
0.455366,68.7632,11.1314,6.1774
0.468395,65.9653,10.6785,6.1774
0.482645,62.5917,10.1323,6.1774
0.484089,57.6977,9.3401,6.1774
0.504174,53.0398,8.5861,6.1774
0.517909,47.4768,7.6855,6.1775
0.532980,41.8949,6.7819,6.1775
0.550742,36.3105,5.8779,6.1775
0.559937,31.0858,5.0322,6.1774
0.582380,27.7866,4.4981,6.1774
0.585249,23.8336,3.8582,6.1774
0.586426,18.2732,2.9581,6.1773
0.616102,12.9373,2.0943,6.1774
0.616839,8.3701,1.3550,6.1772
0.640061,4.6419,0.7514,6.1777
0.643000,2.3900,0.3869,6.1773
